Sl.no,U-DISE School Code,School Name
498,11030701901,UPPER NIYA PS
499,11030702001,LINGEE SSS
500,11030702101,LINGEE PAYONG JHS
501,11030702201,KAW PS
502,11030702301,DARAKHARKA PS
503,11030702401,KARJEE JHS
504,11030702501,BADAMTAM PS
505,11030702601,SUMSEE PS
506,11030702701,SOKPAY JHS
507,11030703001,BANDEY PS
508,11030703101,LOWER MANZING (JOGIDARA) PS
509,11030800101,SADAM SSS
510,11030800102,ROGDARA PS
511,11030800201,SUKRABAREY PS
512,11030800301,SUNTALAY JHS
513,11030800401,SUMBUK SSS
514,11030800501,GUPTIGOAN PS
515,11030800601,LUNCHOK JHS
516,11030800701,KAMERAY JHS
517,11030800801,KARTIKAY JHS
518,11030800901,MUNGRANG PS
519,11030801001,RAMABONG PS
520,11030801101,BILLING PS
521,11030801201,PANCHGAREY JHS
522,11030801401,MELLI BAZAAR SS
523,11030801501,MELLI GUMPA SS
524,11030801601,MELLI PAIYONG JHS
525,11030801602,BEGANI PS
526,11030801701,MELLI KERABARI JHS
527,11030801801,KUBINDAY PS
528,11030801901,SUNTELAY MAKERJONG PS
529,11030802301,RABITAR JHS
530,11030802401,TURUK SS
531,11030802501,ROLU MANPUR PS
532,11040100101,AHO SHANTI SS
533,11040100102,AHO YANGTAM PS
534,11040100201,DIKLING SSS
535,11040100301,PACHEY KHANI SS
536,11040100701,NAMCHEYBONG SS
537,11040100801,BASHILAKHA PS
538,11040100901,PACHEY SAMSING PS
539,11040101001,MAMRING SSS
540,11040101401,AMBA SS
541,11040101402,TAKSANG PS
542,11040102501,PAKYONG JHS
543,11040102502,KATHOK PS
544,11040102505,RAI GAON
545,11040102901,PACHEY SS
546,11040103201,LOWER KADATAM
547,11040103301,UPPER KADAMTAM
548,11040103401,AHO -KISSAN SS
549,11040103501,RORATHANG SS
550,11040103601,NIMTAR JHS
551,11040300101,ASSAM LINGZEY SSS
552,11040300201,PABYUICK SS
553,11040300301,GAUCHARAN J.HS
554,11040300302,DARINGLINGZEY PS
555,11040300501,SAURENI J.H.S
556,11040300801,T.N SSS
557,11040300802,SICHEY SS
558,11040300901,BURTUK JHS
559,11040300902,LOWER BHUTUK
560,11040301001,DEORALI SSS
561,11040301101,UPPER SYARI JHS
562,11040301201,C.S. RAI JHS ARITHANG
563,11040301301,LINGDING JHS
564,11040301501,NANDOK SS
565,11040301502,LOWER NANDOK JHS
566,11040302001,TADONG SSS
567,11040302101,LOWER SYARI SS
568,11040302102,NIMTHANG PS
569,11040302201,SAMDUR PS
570,11040302301,LUMSEY JHS
571,11040302901,RONGNECK JHS
572,11040303001,BHUSUK JHS
573,11040303101,CHONGEYTAR PS
574,11040303201,NAMONG JHS
575,11040303301,MERUNG PS
576,11040303401,YALLI PS
577,11040303701,THEGU PS
578,11040303901,ENCHEY SSS
579,11040304001,4 TH MILE JHS
580,11040304101,10 MILE P.S JN RD
581,11040304201,WEST POINT SSS
582,11040304202,MODERN SS
583,11040305301,SOTAK P.S
584,11040305401,NAVEY PS
585,11040305501,BOJOGHARI SSS
586,11040305601,PANGTHANG JHS
587,11040305602,PANGTHANG SAP
588,11040305701,PENLONG SS
589,11040305801,LINGDOK SSS
590,11040305803,NAMPONG JHS
591,11040400101,CHUJACHEN SSS
592,11040400102,CHUJACHEN LUNGCHOK PS
593,11040400103,LOK DARA PS
594,11040400105,GANGYAP PS
595,11040400106,POSAKEY PS
596,11040400201,RONGLI JHS
597,11040400207,CHUNNBHATTI PS
598,11040400301,SISNEY PS
599,11040400401,CHANGEYLAKHA PS
600,11040400501,LOWER DALAPCHAND PS
601,11040400601,DALAPCHAND SS
602,11040400701,KATARBOTEY PS
603,11040400801,DEOLING PS
604,11040400901,CHANDANEY PS
605,11040401001,LINGTAM SS
606,11040401301,PASTING PS
607,11040401401,BOUCHEN PS
608,11040401501,ROLEP SS
609,11040401601,LAMATEN PS
610,11040401701,DODACHEN PS
611,11040401801,PHADAMCHEN SS
612,11040401802,DZULUK PS
613,11040401901,NIMACHEN PS
614,11040402001,SOUTH REGU JHS
615,11040402002,PACHA SARASWATI
616,11040402101,NORTH REGU JHS
617,11040402201,DOKCHEN PS
618,11040404001,RHENOCK SSS
619,11040404002,AGRI GOAN PS
620,11040404003,ARITAR SS
621,11040404201,THUNGSUNG PS
622,11040404301,MIDDLE ARITAR
623,11040404401,UPPER KHAMDONG PS
624,11040404402,RHENOCK KHAMDONG JHS
