Sl.no,School Code,School Name
247,11030205004,IDEAL ACADEMY
248,11030207901,"MT,PANDIM ACADEMY"
249,11030204403,PEMA SAMPHEL ACADEMY
250,11030207802,GENERATION NEXT ACADEMY
251,11030206905,LITTLE SCHOLRS ACADEMY
252,11030206904,SOUTH POINT ACADEMY
253,11030206902,ST.JOSEPH SCHOOL
254,11030500602,SHARON VALLEY SCHOOL
255,11030801503,GREEN HILL ACADEMY
256,11030801403,LIGHT OF LIFE ACADEMY
257,11030801702,SOUTH PIONT ACADEMY
258,11030801404,ST. THOMAS SCHOOL
259,11030801502,ST.PAUL JHS
260,11030801402,SUN SHINE ENGLISH SCHOOL
261,11030800302,GRACE ENGLISH SCHOOL
262,11030800103,LORETO CONVENT SCHOOL
263,11030800105,STERLINE ACADEMY
264,11030802502,ANUGRAH PS MANPUR
265,11030800403,EUREKA ENGLISH SCHOOL
266,11030800405,MATRI ACADEMY
267,11030800603,ST STEPHEN'S SCHOOL
268,11030800406,ST.PETER ENGLISH SCHOOL
269,11030802402,ANGLES ENGLISH SCHOOL
270,11030802403,MOUNT CARMEL SCHOOL
271,11030802404,PRASANSHA ENGLISH SCHOOL
272,11030302505,SARASWATI SISHU VIDYALAYA
273,11030300603,BRIGHT LIFE ENGLISH SCHOOL
274,11030300602,MOUNT OLIVES ACADEMY
275,11030301102,LITTLE ANGELS ACADEMY
276,11030300703,PRATIVA ACADEMY
277,11030300704,SARASWATI SHISHU VIDYALAYA
278,11030302401,SARASWATI SISHU VIDHLAYA
279,11030300702,SUNSHINE ACADEMY
280,11030301302,EDEN GARDEN
281,11030301804,HIMALAYAN SCHOOL
282,11030301803,JUVENTUS ACADEMY
283,11030301603,KALIKA SANSKRIT VIDHYALAYA
284,11030302002,MANJUSRI PUBLIC SCHOOL
285,11030301902,PARAMOUNT E.SCHOOL
286,11030302301,SAIPARTI VIDYA MANDIR
287,11030702002,ST PETERS SCHOOL
288,11030701603,GREENVALE ACADEMY
289,11030701703,EAST POINT ENGLISH SCHOOL
290,11030700104,EAST POINT SCHOOL
291,11030700105,MAINUM NURSERY SCHOOL
